agent_id,criteria_name,section_name,pass_rate
21121124,Active Listening,Section 2: Problem Resolution,100.0
21121124,Escalation Handling,Section 2: Problem Resolution,100.0
21121124,Clear Explanation,Section 3: Communication Quality,100.0
21121124,Recap Provided,Section 4: Call Closing,100.0
21121124,Offer Assistance,Section 1: Offer Assistance,100.0
21121124,Hold Protocol,Section 2: Problem Resolution,100.0
21121124,Greeting,Section 1: Offer Assistance,0.0
21121124,Resolution Provided,Section 2: Problem Resolution,0.0
21121124,User Authentication,Section 1: Offer Assistance,0.0
21121124,Issue Confirmation,Section 4: Call Closing,0.0
21121124,Professional Farewell,Section 4: Call Closing,0.0
21121124,Professional Tone,Section 3: Communication Quality,0.0
21352312,Active Listening,Section 2: Problem Resolution,100.0
21352312,Resolution Provided,Section 2: Problem Resolution,100.0
21352312,Issue Confirmation,Section 4: Call Closing,100.0
21352312,Professional Farewell,Section 4: Call Closing,100.0
21352312,Professional Tone,Section 3: Communication Quality,100.0
21352312,User Authentication,Section 1: Offer Assistance,0.0
21352312,Offer Assistance,Section 1: Offer Assistance,0.0
21352312,Hold Protocol,Section 2: Problem Resolution,0.0
21352312,Escalation Handling,Section 2: Problem Resolution,0.0
21352312,Greeting,Section 1: Offer Assistance,0.0
21352312,Clear Explanation,Section 3: Communication Quality,0.0
21352312,Recap Provided,Section 4: Call Closing,0.0
22351462,Offer Assistance,Section 1: Offer Assistance,100.0
22351462,Hold Protocol,Section 2: Problem Resolution,100.0
22351462,Professional Farewell,Section 4: Call Closing,100.0
22351462,Active Listening,Section 2: Problem Resolution,100.0
22351462,Greeting,Section 1: Offer Assistance,0.0
22351462,User Authentication,Section 1: Offer Assistance,0.0
22351462,Resolution Provided,Section 2: Problem Resolution,0.0
22351462,Escalation Handling,Section 2: Problem Resolution,0.0
22351462,Issue Confirmation,Section 4: Call Closing,0.0
22351462,Professional Tone,Section 3: Communication Quality,0.0
22351462,Clear Explanation,Section 3: Communication Quality,0.0
22351462,Recap Provided,Section 4: Call Closing,0.0
22354114,Active Listening,Section 2: Problem Resolution,100.0
22354114,Hold Protocol,Section 2: Problem Resolution,100.0
22354114,Professional Farewell,Section 4: Call Closing,100.0
22354114,Offer Assistance,Section 1: Offer Assistance,100.0
22354114,Professional Tone,Section 3: Communication Quality,100.0
22354114,Clear Explanation,Section 3: Communication Quality,100.0
22354114,Greeting,Section 1: Offer Assistance,0.0
22354114,Resolution Provided,Section 2: Problem Resolution,0.0
22354114,User Authentication,Section 1: Offer Assistance,0.0
22354114,Escalation Handling,Section 2: Problem Resolution,0.0
22354114,Issue Confirmation,Section 4: Call Closing,0.0
22354114,Recap Provided,Section 4: Call Closing,0.0
23548679,Professional Farewell,Section 4: Call Closing,100.0
23548679,Offer Assistance,Section 1: Offer Assistance,100.0
23548679,Professional Tone,Section 3: Communication Quality,100.0
23548679,Hold Protocol,Section 2: Problem Resolution,0.0
23548679,Escalation Handling,Section 2: Problem Resolution,0.0
23548679,Issue Confirmation,Section 4: Call Closing,0.0
23548679,Clear Explanation,Section 3: Communication Quality,0.0
23548679,Greeting,Section 1: Offer Assistance,0.0
23548679,User Authentication,Section 1: Offer Assistance,0.0
23548679,Active Listening,Section 2: Problem Resolution,0.0
23548679,Resolution Provided,Section 2: Problem Resolution,0.0
23548679,Recap Provided,Section 4: Call Closing,0.0
24141565,Active Listening,Section 2: Problem Resolution,100.0
24141565,Resolution Provided,Section 2: Problem Resolution,100.0
24141565,Hold Protocol,Section 2: Problem Resolution,100.0
24141565,Escalation Handling,Section 2: Problem Resolution,100.0
24141565,Issue Confirmation,Section 4: Call Closing,100.0
24141565,Clear Explanation,Section 3: Communication Quality,100.0
24141565,User Authentication,Section 1: Offer Assistance,0.0
24141565,Professional Farewell,Section 4: Call Closing,0.0
24141565,Greeting,Section 1: Offer Assistance,0.0
24141565,Offer Assistance,Section 1: Offer Assistance,0.0
24141565,Professional Tone,Section 3: Communication Quality,0.0
24141565,Recap Provided,Section 4: Call Closing,0.0
24145412,Active Listening,Section 2: Problem Resolution,100.0
24145412,Escalation Handling,Section 2: Problem Resolution,100.0
24145412,Greeting,Section 1: Offer Assistance,100.0
24145412,Resolution Provided,Section 2: Problem Resolution,100.0
24145412,Professional Tone,Section 3: Communication Quality,100.0
24145412,Clear Explanation,Section 3: Communication Quality,100.0
24145412,User Authentication,Section 1: Offer Assistance,0.0
24145412,Hold Protocol,Section 2: Problem Resolution,0.0
24145412,Issue Confirmation,Section 4: Call Closing,0.0
24145412,Recap Provided,Section 4: Call Closing,0.0
24145412,Offer Assistance,Section 1: Offer Assistance,0.0
24145412,Professional Farewell,Section 4: Call Closing,0.0
24165398,Offer Assistance,Section 1: Offer Assistance,100.0
24165398,Escalation Handling,Section 2: Problem Resolution,100.0
24165398,Active Listening,Section 2: Problem Resolution,100.0
24165398,Clear Explanation,Section 3: Communication Quality,100.0
24165398,Resolution Provided,Section 2: Problem Resolution,66.7
24165398,Hold Protocol,Section 2: Problem Resolution,66.7
24165398,Professional Farewell,Section 4: Call Closing,66.7
24165398,Greeting,Section 1: Offer Assistance,66.7
24165398,Professional Tone,Section 3: Communication Quality,66.7
24165398,Issue Confirmation,Section 4: Call Closing,33.3
24165398,Recap Provided,Section 4: Call Closing,33.3
24165398,User Authentication,Section 1: Offer Assistance,0.0
24541241,User Authentication,Section 1: Offer Assistance,100.0
24541241,Professional Farewell,Section 4: Call Closing,100.0
24541241,Professional Tone,Section 3: Communication Quality,100.0
24541241,Greeting,Section 1: Offer Assistance,100.0
24541241,Offer Assistance,Section 1: Offer Assistance,100.0
24541241,Escalation Handling,Section 2: Problem Resolution,100.0
24541241,Active Listening,Section 2: Problem Resolution,50.0
24541241,Hold Protocol,Section 2: Problem Resolution,50.0
24541241,Clear Explanation,Section 3: Communication Quality,50.0
24541241,Recap Provided,Section 4: Call Closing,0.0
24541241,Resolution Provided,Section 2: Problem Resolution,0.0
24541241,Issue Confirmation,Section 4: Call Closing,0.0
25454653,Hold Protocol,Section 2: Problem Resolution,100.0
25454653,Professional Tone,Section 3: Communication Quality,100.0
25454653,Clear Explanation,Section 3: Communication Quality,100.0
25454653,Greeting,Section 1: Offer Assistance,100.0
25454653,Offer Assistance,Section 1: Offer Assistance,100.0
25454653,Active Listening,Section 2: Problem Resolution,100.0
25454653,Issue Confirmation,Section 4: Call Closing,50.0
25454653,Escalation Handling,Section 2: Problem Resolution,50.0
25454653,User Authentication,Section 1: Offer Assistance,0.0
25454653,Resolution Provided,Section 2: Problem Resolution,0.0
25454653,Professional Farewell,Section 4: Call Closing,0.0
25454653,Recap Provided,Section 4: Call Closing,0.0
25465231,Hold Protocol,Section 2: Problem Resolution,100.0
25465231,Escalation Handling,Section 2: Problem Resolution,100.0
25465231,Greeting,Section 1: Offer Assistance,100.0
25465231,Active Listening,Section 2: Problem Resolution,100.0
25465231,Professional Tone,Section 3: Communication Quality,100.0
25465231,Clear Explanation,Section 3: Communication Quality,100.0
25465231,Professional Farewell,Section 4: Call Closing,66.7
25465231,Resolution Provided,Section 2: Problem Resolution,66.7
25465231,User Authentication,Section 1: Offer Assistance,33.3
25465231,Issue Confirmation,Section 4: Call Closing,33.3
25465231,Offer Assistance,Section 1: Offer Assistance,0.0
25465231,Recap Provided,Section 4: Call Closing,0.0
25645142,Active Listening,Section 2: Problem Resolution,100.0
25645142,Hold Protocol,Section 2: Problem Resolution,100.0
25645142,Clear Explanation,Section 3: Communication Quality,100.0
25645142,Escalation Handling,Section 2: Problem Resolution,66.7
25645142,Resolution Provided,Section 2: Problem Resolution,66.7
25645142,Professional Tone,Section 3: Communication Quality,66.7
25645142,Professional Farewell,Section 4: Call Closing,33.3
25645142,Greeting,Section 1: Offer Assistance,0.0
25645142,User Authentication,Section 1: Offer Assistance,0.0
25645142,Offer Assistance,Section 1: Offer Assistance,0.0
25645142,Issue Confirmation,Section 4: Call Closing,0.0
25645142,Recap Provided,Section 4: Call Closing,0.0
25896478,Greeting,Section 1: Offer Assistance,100.0
25896478,Active Listening,Section 2: Problem Resolution,100.0
25896478,Hold Protocol,Section 2: Problem Resolution,100.0
25896478,Escalation Handling,Section 2: Problem Resolution,100.0
25896478,Professional Tone,Section 3: Communication Quality,100.0
25896478,Clear Explanation,Section 3: Communication Quality,100.0
25896478,Offer Assistance,Section 1: Offer Assistance,0.0
25896478,Resolution Provided,Section 2: Problem Resolution,0.0
25896478,User Authentication,Section 1: Offer Assistance,0.0
25896478,Issue Confirmation,Section 4: Call Closing,0.0
25896478,Professional Farewell,Section 4: Call Closing,0.0
25896478,Recap Provided,Section 4: Call Closing,0.0
26363514,Offer Assistance,Section 1: Offer Assistance,100.0
26363514,Active Listening,Section 2: Problem Resolution,100.0
26363514,Hold Protocol,Section 2: Problem Resolution,100.0
26363514,Escalation Handling,Section 2: Problem Resolution,100.0
26363514,Professional Farewell,Section 4: Call Closing,100.0
26363514,Professional Tone,Section 3: Communication Quality,100.0
26363514,Clear Explanation,Section 3: Communication Quality,100.0
26363514,Greeting,Section 1: Offer Assistance,0.0
26363514,Issue Confirmation,Section 4: Call Closing,0.0
26363514,User Authentication,Section 1: Offer Assistance,0.0
26363514,Resolution Provided,Section 2: Problem Resolution,0.0
26363514,Recap Provided,Section 4: Call Closing,0.0
26514875,User Authentication,Section 1: Offer Assistance,100.0
26514875,Offer Assistance,Section 1: Offer Assistance,100.0
26514875,Hold Protocol,Section 2: Problem Resolution,100.0
26514875,Greeting,Section 1: Offer Assistance,100.0
26514875,Issue Confirmation,Section 4: Call Closing,100.0
26514875,Professional Farewell,Section 4: Call Closing,100.0
26514875,Professional Tone,Section 3: Communication Quality,100.0
26514875,Clear Explanation,Section 3: Communication Quality,100.0
26514875,Resolution Provided,Section 2: Problem Resolution,50.0
26514875,Active Listening,Section 2: Problem Resolution,50.0
