agent_id,team_name,skill_name,total_calls,avg_quality_score,avg_handle_time,last_call_date,updated_at
26514875,Leveraged,Heritage.SKL.PHN.US.EN,2,75.8,1750.5,2025-05-13 12:00:16.607,2026-03-14 09:21:13.711676
23548679,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,24.0,581.0,2025-04-17 08:37:31.893,2026-03-14 09:21:13.715004
21352312,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,34.7,1580.4,2025-04-17 09:35:50.177,2026-03-14 09:21:13.718426
24145412,Leveraged,Careforth.SKL.PHN.US.EN,1,52.4,2190.9,2025-04-17 17:04:40.867,2026-03-14 09:21:13.721772
28585315,Shared Services,AEG.SKL.PHN.US.EN,6,47.0,3027.1,2025-05-15 16:33:43.070,2026-03-14 09:21:13.725206
22351462,Leveraged,Careforth.SKL.PHN.US.EN,1,39.7,619.3,2025-04-17 18:19:50.237,2026-03-14 09:21:13.728547
27471653,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,1,37.6,1962.4,2025-04-17 18:26:24.433,2026-03-14 09:21:13.732061
27275123,Dedicated - MSC,MSC.SKL.PHN.US.EN.AS400,1,50.4,622.8,2025-04-17 18:33:33.843,2026-03-14 09:21:13.736093
26565321,Shared Services,ADVENT.SKL.PHN.EN,1,46.3,779.3,2025-04-17 18:36:23.910,2026-03-14 09:21:13.739522
26854713,Dedicated - CAT,CAT.PLD.SKL.PHN.US.En.PWRst,1,37.0,463.3,2025-04-17 18:41:36.750,2026-03-14 09:21:13.742407
26541524,Shared Services,TexasChiro.SKL.PHN.US.EN.PWD,2,59.5,3855.8,2025-05-20 14:51:27.847,2026-03-14 09:21:13.745503
28787456,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,3,68.4,3937.7,2025-05-20 14:15:32.923,2026-03-14 09:21:13.748284
25465231,Shared Services,AEIConsultants.SKL.PHN.US.EN,3,66.0,4970.4,2025-05-20 01:43:35.970,2026-03-14 09:21:13.751229
25645142,Shared Services,TMG.SKL.PHN.EN,3,43.7,4053.9,2025-05-16 17:44:06.387,2026-03-14 09:21:13.754566
25454653,Shared Services,GSRV.SKL.PHN.EN,2,60.3,2862.9,2025-05-19 22:00:27.607,2026-03-14 09:21:13.757430
24541241,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,2,65.5,2831.9,2025-05-13 21:04:54.590,2026-03-14 09:21:13.760149
24165398,Shared Services,Ambient.SKL.PHN.EN,3,66.5,3601.6,2025-05-19 13:17:08.260,2026-03-14 09:21:13.763331
65875421,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,94.1,2787.7,2025-05-12 02:53:39.303,2026-03-14 09:21:13.766028
29898672,Shared Services,Hanover.SKL.PHN.US.EN,1,66.4,3306.7,2025-05-12 13:53:42.270,2026-03-14 09:21:13.768739
28845136,Shared Services,Ambient.SKL.PHN.EN,1,44.0,3318.0,2025-05-12 18:37:41.687,2026-03-14 09:21:13.771797
75128436,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,60.1,4244.0,2025-05-13 01:35:05.300,2026-03-14 09:21:13.774887
25896478,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,45.3,3102.4,2025-05-14 04:41:57.387,2026-03-14 09:21:13.779319
22354114,Dedicated - MSC,MSC.SKL.PHN.US.EN.Password,1,44.9,2912.6,2025-05-14 18:43:30.323,2026-03-14 09:21:13.782671
26363514,Leveraged,Fuji.HD.SKL.PHN.US.EN,1,54.2,3598.2,2025-05-16 12:38:21.600,2026-03-14 09:21:13.786756
61534982,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,54.7,4112.7,2025-05-19 00:07:58.417,2026-03-14 09:21:13.789878
24141565,Shared Services,AEIConsultants.SKL.PHN.US.EN,1,54.7,3026.4,2025-05-19 13:35:42.907,2026-03-14 09:21:13.792824
21121124,Shared Services,Tandigm.SKL.PHN.EN,1,55.3,3771.9,2025-05-20 11:54:53.017,2026-03-14 09:21:13.796405
29984756,Shared Services,Hanover.SKL.PHN.US.EN,1,70.9,3569.4,2025-05-20 14:27:06.287,2026-03-14 09:21:13.799454
