contact_id,issue_category,resolution,overall_score,sentiment_agent,sentiment_customer,ai_recommendation,pred_issue_category,pred_resolution,agent_id,team_name,campaign_name,total_duration_sec,is_simulated,contact_start
624279072949,Account Access,Unresolved,59.6,Positive,Positive,"Improve: Active Listening, Resolution Provided, Escalation Handling",Account Access,Unresolved,26514875,Leveraged,Heritage_Skills,761.107,False,2025-04-17 05:19:16.277000
624279091078,Account Access,Unresolved,24.0,Positive,Positive,"Improve: Greeting, User Authentication, Active Listening",Software Request,Unresolved,23548679,Dedicated - RCCL,RCCL_Skills,581.0,False,2025-04-17 08:37:31.893000
624279096503,Account Access,Resolved,34.7,Neutral,Positive,"Improve: Greeting, User Authentication, Offer Assistance",Account Access,Resolved,21352312,Dedicated - RCCL,RCCL_Skills,1580.367,False,2025-04-17 09:35:50.177000
624279721699,Account Access,Resolved,52.4,Positive,Positive,"Improve: User Authentication, Offer Assistance, Hold Protocol",Account Access,Resolved,24145412,Leveraged,SeniorLink_Skills,2190.95,False,2025-04-17 17:04:40.867000
624279879911,Software Request,Escalated,44.8,Positive,Positive,"Improve: User Authentication, Offer Assistance, Resolution Provided",Software Request,Escalated,28585315,Shared Services,AEG_Skills,1051.05,False,2025-04-17 18:13:58.517000
624279893173,Account Access,Unresolved,39.7,Neutral,Positive,"Improve: Greeting, User Authentication, Resolution Provided",Account Access,Unresolved,22351462,Leveraged,SeniorLink_Skills,619.33,False,2025-04-17 18:19:50.237000
624279908539,Account Access,Unresolved,37.6,Positive,Positive,"Improve: Greeting, User Authentication, Offer Assistance",Account Access,Unresolved,27471653,Dedicated - Douglas Elliman,Douglas Elliman,1962.363,False,2025-04-17 18:26:24.433000
624279924425,Software Request,Escalated,50.4,Positive,Positive,"Improve: Greeting, Active Listening, Resolution Provided",Software Request,Escalated,27275123,Dedicated - MSC,MSC_Skills,622.843,False,2025-04-17 18:33:33.843000
624279931111,Account Access,Escalated,46.3,Positive,Neutral,"Improve: User Authentication, Resolution Provided, Hold Protocol",Account Access,Escalated,26565321,Shared Services,ADVENT,779.326,False,2025-04-17 18:36:23.910000
624279943370,Account Access,Unresolved,37.0,Positive,Positive,"Improve: Greeting, User Authentication, Active Listening",Account Access,Unresolved,26854713,Dedicated - CAT,CAT_Skills,463.32,False,2025-04-17 18:41:36.750000
625338079968,Account Access,Resolved,39.9,Positive,Positive,"Improve: Greeting, User Authentication, Offer Assistance",Account Access,Resolved,28585315,Shared Services,Tandigm,4320.73,False,2025-05-05 13:43:09.310000
625338188073,Account Access,Resolved,68.0,Positive,Positive,"Improve: User Authentication, Hold Protocol, Recap Provided",Account Access,Resolved,26541524,Shared Services,Texas Chiro,3478.103,False,2025-05-05 14:25:26.903000
625434307937,Account Access,Escalated,68.8,Positive,Positive,"Improve: User Authentication, Resolution Provided, Issue Confirmation",Account Access,Escalated,28787456,Dedicated - Douglas Elliman,Douglas Elliman,5652.36,False,2025-05-05 21:05:08.357000
625434473885,Account Access,Escalated,68.2,Positive,Positive,"Improve: Offer Assistance, Resolution Provided, Issue Confirmation",Account Access,Escalated,25465231,Shared Services,AEI Consultants,3739.113,False,2025-05-05 22:58:25.780000
625435188686,Billing,Resolved,48.4,Positive,Positive,"Improve: User Authentication, Offer Assistance, Hold Protocol",Billing,Resolved,28585315,Shared Services,Tandigm,2991.287,False,2025-05-06 16:02:19.317000
625547623075,Account Access,Escalated,62.4,Neutral,Positive,"Improve: Offer Assistance, Resolution Provided, Hold Protocol",Account Access,Escalated,28585315,Shared Services,Hanover,2752.517,False,2025-05-06 18:46:52.063000
625547653060,Account Access,Resolved,47.5,Neutral,Positive,"Improve: Greeting, User Authentication, Offer Assistance",Account Access,Resolved,25645142,Shared Services,The Meridian Group,4772.557,False,2025-05-06 18:58:20.507000
