contact_id,agent_word_count,customer_word_count,talk_ratio,created_at
624279072949,505,258,0.662,2026-03-14 09:21:02.058066
624279091078,210,125,0.627,2026-03-14 09:21:02.354246
624279096503,835,627,0.571,2026-03-14 09:21:02.635267
624279721699,1462,1338,0.522,2026-03-14 09:21:02.897990
624279879911,1099,550,0.666,2026-03-14 09:21:03.145411
624279893173,401,722,0.357,2026-03-14 09:21:03.411236
624279908539,1220,2397,0.337,2026-03-14 09:21:03.747967
624279924425,257,390,0.397,2026-03-14 09:21:04.004294
624279931111,579,617,0.484,2026-03-14 09:21:04.256843
624279943370,526,173,0.753,2026-03-14 09:21:04.493328
625338079968,3722,2760,0.574,2026-03-14 09:21:04.758269
625338188073,771,2573,0.231,2026-03-14 09:21:05.022061
625434307937,4743,7382,0.391,2026-03-14 09:21:05.378212
625434473885,3545,2960,0.545,2026-03-14 09:21:05.653105
625435188686,539,3161,0.146,2026-03-14 09:21:06.015986
625547623075,2829,953,0.748,2026-03-14 09:21:06.290467
625547653060,1789,3826,0.319,2026-03-14 09:21:06.539161
625549534849,321,143,0.692,2026-03-14 09:21:06.825124
625649798181,769,3051,0.201,2026-03-14 09:21:07.071831
625650236230,1615,676,0.705,2026-03-14 09:21:07.346481
625650422153,1974,759,0.722,2026-03-14 09:21:07.625218
625750476802,1499,1995,0.429,2026-03-14 09:21:07.885080
625875731133,419,685,0.38,2026-03-14 09:21:08.145567
625876481766,874,1140,0.434,2026-03-14 09:21:08.450464
625877115602,635,675,0.485,2026-03-14 09:21:08.727148
625877219959,2059,1234,0.625,2026-03-14 09:21:09.011659
625985332924,948,884,0.517,2026-03-14 09:21:09.262313
625985490009,1452,347,0.807,2026-03-14 09:21:09.564747
625985534452,431,461,0.483,2026-03-14 09:21:09.765281
625985828095,783,2273,0.256,2026-03-14 09:21:10.034029
626072760929,1244,878,0.586,2026-03-14 09:21:10.043892
626073989094,2513,1004,0.715,2026-03-14 09:21:10.294981
626188986410,1512,2055,0.424,2026-03-14 09:21:10.589607
626189712437,3000,2518,0.544,2026-03-14 09:21:10.759619
626190323136,5336,1552,0.775,2026-03-14 09:21:11.007517
626299189651,1048,750,0.583,2026-03-14 09:21:11.256030
626299406562,909,557,0.62,2026-03-14 09:21:11.539198
626299447825,2670,2374,0.529,2026-03-14 09:21:11.864788
626300245831,1570,660,0.704,2026-03-14 09:21:12.118797
626397759305,1992,1512,0.568,2026-03-14 09:21:12.359898
626397931645,2915,4216,0.409,2026-03-14 09:21:12.627696
626398026596,1408,1784,0.441,2026-03-14 09:21:12.909753
626398259531,1770,997,0.64,2026-03-14 09:21:13.196256
626398290641,1076,1547,0.41,2026-03-14 09:21:13.450818
626398360524,391,582,0.402,2026-03-14 09:21:13.706244
